客先№,会社名,TEL,FAX,地区名,〒,住所
30035-00,太平㈱,07635-2-1216,,富山,939-1741,富山県南砺市高宮内１４
30035-01,太平㈱,07635-2-1136,,富山,939-1610,富山県南砺市福光７３７
30037-00,大興化成㈱,078-811-1331,078-822-0495,兵庫,658-0041,兵庫県神戸市東灘区住吉南町１－１２－３
30037-01,大興化成㈱　市川工場,0790-26-2411,,兵庫,679-2327,兵庫県神崎郡市川町近平４５３
30038-01,大洋興産㈱,06-6271-3801,06-6264-1016,大阪,541-0054,大阪府大阪市中央区南本町２－１－３　福武ビル
30038-02,大洋興産㈱　東京支店,03-5207-4455,03-3526-3588,東京,101-0044,東京都千代田区鍛冶町１－７－１１　ＫＣＡビル６Ｆ
30039-00,川口販売㈱　足利営業所,0284-73-0901,0284-73-0768,栃木,326-0831,栃木県足利市堀込町２５８７－１　サンハイツ堀込ビル２Ｆ
30039-04,川口販売㈱　郡山出張所,0249-34-3610,,福島,963-8024,福島県郡山市朝日１－１４－３　アサヒビル２Ｆ
30039-05,川口鐵工㈱　大宮営業所,048-645-3321,,埼玉,331-0052,埼玉県さいたま市大宮区三橋３－１６２
30040-00,タツミ化成㈱,0562-46-3305,0562-48-2342,愛知,474-0011,愛知県大府市横根町新江１５番１２
30040-02,タツミ化成㈱　中原工場,0562-46-9503,,愛知,474-0000,愛知県大府市中原町１０－１
30040-03,タツミ化成㈱　刈谷工場,0566-23-4871,,愛知,448-0813,愛知県刈谷市小垣江町御茶屋下２２ー３
30041-00,太平洋精工㈱　自動車部品部,0584-81-3131,0584-82-3131,岐阜,503-0974,岐阜県大垣市久瀬川町７－５－８
30042-00,田部化成,0824-23-6010,0824-23-9169,広島,739-0041,広島県東広島市西条町寺家４６６８－２
30043-00,株式会社太洋製作所,072-331-1731,,大阪,580-0026,大阪府松原市天美我堂５－６－９
30043-01,株式会社太洋製作所　本社工場,06-6708-7707,06-6708-7719,大阪,581-0053,大阪府八尾市竹渕東４－１９
30043-02,㈱太洋製作所　稲美工場(03.6.16閉鎖）,0794-92-1152,0794-92-3267,兵庫,675-1121,兵庫県加古郡稲美町北山７８３－１2003.06.16現在閉鎖
30043-03,株式会社太洋製作所　松原工場,072-331-1731,072-331-1725,大阪,580-0026,大阪府松原市天美我堂５－６－９
30047-00,大宝工業㈱　本社,06-6908-8125,06-6908-7951,大阪,570-0003,大阪府守口市大日町１－３－７
30047-01,大宝工業㈱　九州カンパニー,092-943-6361,092-943-6626,福岡,811-3105,福岡県古賀市鹿部７－５
30047-04,大宝工業㈱　那須工場,0287-72-1151,0287-72-6868,栃木,329-3215,栃木県那須郡那須町大字寺子乙２５６６
30047-05,大宝関東㈱　本部,0274-42-1221,0274-42-0157,群馬,370-1301,群馬県高崎市新町１２０７
30047-06,大宝工業㈱　摂津工場,06-6340-8141,06-6340-8145,大阪,566-0042,大阪府摂津市東別府２－７－２５
30047-08,大宝工業㈱　関東カンパニー　大田原工場,0287-29-1181,0287-29-1180,栃木,324-0036,栃木県大田原市下石上１３７８
30047-10,大宝工業㈱　技術センター,06-6827-3931,06-6827-3930,大阪,566-0042,大阪府摂津市東別府２－７－２５
30047-11,大宝工業㈱九州カンパニー大牟田工場,0944-43-6367,0944-43-6255,福岡,836-0835,福岡県大牟田市西宮浦町１３２－３　大牟田中央工業団地
30047-16,大宝工業株式会社,06-6908-8126,,大阪,570-0003,大阪府守口市大日町１－３－７
30047-17,大宝九州㈱北九州工場,0947-22-7111,0947-22-7116,福岡,822-1211,西九州合成㈱北九州工場へ転売
30047-18,大宝工業㈱　関西カンパニー　湖南工場,0748-77-8880,0748-77-8881,滋賀,520-3114,滋賀県湖南市石部口三丁目５番１号
30047-19,大宝工業㈱　関東カンパニー　仙台工場,0224-83-5611,0224-83-5616,宮城,989-1305,宮城県柴田郡村田町大字村田字小池３３６－３
30047-20,大宝工業㈱　関西カンパニー　河野工場,0748-77-2181,0748-77-4614,滋賀,520-3114,滋賀県湖南市石部口４－１－２
30047-21,大宝工業株式会社関西ｶﾝﾊﾟﾆｰ鳥取工場,0857-28-0162,0857-28-6219,鳥取,680-1416,鳥取県鳥取市高住１５８
30047-22,大宝工業㈱　関東カンパニー　足利工場,0284-71-4011,0284-71-4029,栃木,326-0332,栃木県足利市福富新町１４７５　御厨工業団地１３－１
30049-00,有限会社大晴産業,0749-23-2510,0749-23-8478,滋賀,522-0041,滋賀県彦根市平田町五反田１１２２
30050-00,㈱タカハシプラスチック工業,0729-91-5657,0729-94-5532,大阪,581-0017,大阪府八尾市高美町６－４－９46310
30051-00,高橋プラスチック工業所,0745-69-2327,,奈良,639-2146,奈良県葛城市中戸４３１
30052-00,株式会社玉川化学工業所,06-6728-8522,06-6728-6146,大阪,577-0835,大阪府東大阪市柏田西２丁目１３番１２号
30053-00,高橋製作所,0598-46-0271,0598-46-1096,三重,515-1505,三重県松阪市飯高町赤桶１３４４
30054-01,正木産業株式会社,0747-26-5801,0747-26-5811,奈良,637-0014,奈良県五條市住川町１３１０テクノパーク奈良
30055-00,浅井硝子奈良工場株式会社,0745-65-1822,0745-65-1829,奈良,639-2203,奈良県御所市北十三２１９－１
30058-00,大永産業㈱,06-6783-5050,06-6782-7474,大阪,577-0066,大阪府東大阪市高井田本通３－６－２５
30059-00,立花樹脂工業㈱,0823-87-2240,0823-87-2074,広島,737-2602,広島県呉市川尻町森４－１７－１４
30060-00,大同硝子興業㈱,0774-44-9173,0774-43-2306,京都,613-0034,京都府久世郡久御山町大字佐山字中道２６
30061-00,大和化成工業㈱,0564-47-3011,0564-47-3164,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3039,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3015,0564-47-3477,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-3477,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3015,0564-47-3477,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3012,0564-47-3616,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3016,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3016,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3013,,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3016,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3015,,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3016,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-00,大和化成工業㈱,0564-47-3093,0564-47-2461,愛知,444-0004,愛知県岡崎市保母町字上平地１番地
30061-02,大和化成工業㈱　豊田営業所,0565-57-2321,,愛知,473-0926,愛知県豊田市駒新町５９　東和工業内
30061-06,大和化成工業㈱市場工場,0564-27-8253,0564-27-8252,愛知,444-3521,愛知県岡崎市市場町余田５５
30061-07,大和化成工業㈱額田工場,0564-85-0180,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-07,大和化成工業㈱額田工場,0564-85-0180,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-07,大和化成工業㈱額田工場,0564-85-0180,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-07,大和化成工業㈱額田工場,0564-47-3016,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-07,大和化成工業㈱額田工場,0564-47-3093,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-07,大和化成工業㈱額田工場,0564-47-3016,0564-85-0181,愛知,444-3616,愛知県岡崎市片寄町字細久後９－１
30061-09,大和化成工業㈱　生産技術部,0564-47-3015,,愛知,444-0004,愛知県岡崎市保母町字下平地１番地
30062-00,㈱日新樹脂工業,0568-73-7893,0568-73-7849,愛知,485-0071,愛知県小牧市弥生町１５
30063-00,竹内化学,05633-5-0478,05633-5-3424,愛知,444-0521,愛知県西尾市吉良町上横須賀馬頭１５－６
30064-00,大成建設㈱,03-3348-1111,,東京,163-0690,東京都新宿区西新宿１－２５－１　　新宿センタービル
30065-00,大和樹脂工業所,0568-82-7566,,愛知,486-0811,愛知県春日井市東山町２３１１
30066-00,高橋プラスチック,0849-55-1254,,広島,720-0004,広島県福山市御幸町中津原１２４７
30067-00,大道産業,0594-76-2355,,三重,511-0244,三重県いなべ市東員町大木６０１
30068-00,タキロンシーアイ㈱　東京工場,0298-28-1611,0298-28-2266,茨城,300-0135,茨城県かすみがうら市加茂５２８９－１
30068-01,タキロン㈱　網干工場　生産保全課,07932-2-1031,07932-2-3672,兵庫,671-1393,兵庫県たつの市御津町苅屋１４５５
30068-02,タキロンシーアイ㈱　揖保川事業所,0791-76-5551,0791-76-5558,兵庫,671-1665,兵庫県たつの市揖保川町馬場１２２８－１
30068-03,タキロンシーアイ株式会社　網干工場,079-322-1031,079-322-2964,兵庫,671-1393,兵庫県たつの市御津町苅屋１４５５
30070-00,大和興業,052-794-5551,,愛知,463-0011,愛知県名古屋市守山区小幡菱池９１－２３
30071-01,㈱タイテック　豊代工場,052-691-7373,,愛知,457-0863,愛知県名古屋市南区豊代町２－７３
30071-02,㈱タイテック　笠寺工場,052-824-8686,052-824-8484,愛知,457-0078,愛知県名古屋市南区塩屋町３－９
30071-03,株式会社　タイテック　本社工場,052-824-8686,052-824-8484,愛知,457-0078,愛知県名古屋市南区塩屋町１丁目３番地４
30071-04,㈱タイテック,052-824-7375,052-824-7300,愛知,457-0078,愛知県名古屋市南区塩屋町１丁目３番地４
30073-00,㈱泰照製作所,03-3734-5661,,東京,144-0047,東京都大田区萩中１－２－７
30073-01,㈱泰照製作所　館林工場,0276-72-3661,0276-75-1564,群馬,374-0062,群馬県館林市広内町１４３６
30074-00,タカラスタンダード㈱　岐阜工場,0574-62-1141,0574-62-7453,岐阜,509-0245,岐阜県可児市下切1431番地
30074-01,タカラスタンダード㈱関東工場（第一工場,0474-82-7171,0474-85-0143,千葉,276-0022,千葉県八千代市上高野字中野１８０７－４
30074-03,タカラスタンダード㈱関東工場（第二工場,0474-82-6671,0474-82-6682,千葉,276-0022,千葉県八千代市上高野１９７９－３
30078-00,ダイショー化成㈱,052-445-8855,,愛知,490-1144,愛知県海部郡大治町大字西條字松下７０－３
30078-00,ダイショー化成㈱,052-482-3535,,愛知,490-1144,愛知県海部郡大治町大字西條字松下７０－３
30079-00,田中樹脂,05815-7-2256,,岐阜,501-2901,岐阜県関市板取２９８８－３
30080-00,玉栄産業㈱　本社,0587-36-2456,0587-36-2495,愛知,492-8443,愛知県稲沢市牛踏町芳野１３０番地
30080-01,玉栄産業㈱　美和工場,052-444-1237,052-444-1254,愛知,490-1213,愛知県あま市乙之子天王畑３２－１
30081-00,ソニー中新田㈱　成形工場,0229-63-5811,,宮城,981-4265,宮城県加美郡加美町字矢越２０２
30081-01,ソニー中新田㈱,0229-64-1111,,宮城,981-4263,宮城県加美郡加美町字雁原３２５
30082-00,大泉合成,0256-62-3774,0256-64-5586,新潟,959-1204,新潟県燕市長所１５７５－１
30083-00,高石化成,089-972-7577,089-972-7588,愛媛,791-8042,愛媛県松山市南吉田町２５７２－１
30085-00,第一精密工業㈱,0269-22-7131,,長野,383-0053,長野県中野市草間高丘工業団地
30085-01,第一精密工業㈱,0269-22-7131,,長野,383-0053,長野県中野市草間１３１６
30086-00,大幸化成㈱　群馬事業所　第１工場,0276-84-2211,0276-84-4517,群馬,370-0715,群馬県邑楽郡明和町大字大佐貫５１－１２
30087-00,㈱田村電機製作所　システム機器事業部,0238-22-6111,,山形,992-8540,山形県米沢市東１－１０－７１
30088-01,田上化工㈱,0256-57-3082,0256-57-4807,新潟,959-1502,新潟県南蒲原郡田上町大字田上丙８９０ー１
30089-00,タカハタプレシジョンジャパン㈱甲府工場,055-232-6800,055-232-6819,山梨,400-0851,山梨県甲府市住吉４－１７－１
30089-01,タカハタプレシジョン山梨㈱　境川工場,0552-66-5001,0552-66-5010,山梨,406-0843,山梨県笛吹市境川町前間田３９０
30089-02,タカハタプレシジョン㈱,03-5334-6801,03-5334-6811,東京,160-0023,東京都新宿区西新宿３丁目９－１２（西新宿ダイヤモンドビル９Ｆ）
30089-05,ﾀｶﾊﾀﾌﾟﾚｼｼﾞｮﾝｼﾞｬﾊﾟﾝ㈱　本社経理課,0552-66-5001,0552-66-5010,山梨,406-0843,山梨県笛吹市境川町前間田３９０
30089-09,タカハタプレシジョン山梨㈱　身延工場,0556-62-4081,0556-62-4082,山梨,409-2522,山梨県南巨摩郡身延町下山字端淵２３１－２０
30089-10,身延高畑精工㈱　西島工場,0556-42-3147,0556-42-3138,山梨,409-3301,山梨県南巨摩郡身延町西島１６０
30089-12,タカハタプレシジョン九州㈱,09496-2-8011,09496-2-8033,福岡,820-1106,福岡県鞍手郡小竹町大字南良津字出口１９－２２
30089-16,タカハタプレシジョン㈱　技術・品質部門,080-7566-0688,,山梨,406-0843,山梨県笛吹市境川町前間田３９０
30090-00,大栄工業,052-622-8911,052-622-8927,愛知,459-8001,愛知県名古屋市緑区大高町字巳新田120番地の１
30091-00,大和化成工業所,0561-39-2130,0561-39-2453,愛知,470-0162,愛知県愛知郡東郷町大字春木字山崎３６９７－６
30094-00,高木デルタ化工㈱,082-822-2226,082-823-6117,広島,736-0082,広島県広島市安芸区船越南４－１２－２
30094-01,デルタテクノ㈱　本社,082-822-2226,082-823-6117,広島,736-0082,広島県広島市安芸区船越南４－１２－２
30095-00,田中樹脂工業　工場,0277-78-5800,0277-78-5816,群馬,379-2301,群馬県太田市藪塚町字台山３８８１－２
30095-01,田中樹脂工業　本社,0277-44-6035,0277-44-6051,群馬,376-0006,群馬県桐生市新宿１丁目１番１２号
30098-02,淀川プレシジョン株式会社,072-224-3300,072-224-3303,大阪,590-0908,大阪府堺市堺区匠町１７－１１
30099-00,高島㈱,052-261-5411,,愛知,460-0008,愛知県名古屋市中区栄５－２６－３９　タカシマ名古屋ビル
30100-00,ダイヤプラスチックス㈱,075-983-8863,075-983-8872,滋賀,614-8134,京都府八幡市下奈良中ノ坪１１－１
30101-00,㈱高田商会,03-3254-2681,03-3252-2865,東京,101-0045,東京都千代田区神田鍛冶町３－３
30101-01,東邦容器㈱　本社,06-6961-1236,,大阪,536-0024,大阪府大阪市城東区中浜３－８－１３
30102-00,高尾化学,0423-91-7062,0423-92-4393,東京,189-0011,東京都東村山市恩多町５－４３－１７
30103-01,第一樹脂工業株式会社　本社工場,072-923-4545,072-993-0225,大阪,581-0067,大阪府八尾市神武町１－６８
30103-03,第一樹脂工業㈱　島根事業部,0852-76-3591,0852-76-3592,島根,690-1401,島根県松江市八束町江島１１２８－５４
30104-00,ダイカポリマー㈱　滋賀射出工場,0740-27-1133,0740-27-0373,滋賀,520-1832,滋賀県高島市マキノ町下開田マキノ工業団地
30104-01,ダイカポリマー㈱　北海道事業所,0126-26-2236,,北海道,069-0383,北海道岩見沢市幌向町４０５
30106-00,ダイセル網干産業㈱,0792-74-3621,0792-74-2097,兵庫,671-1234,兵庫県姫路市網干区新在家１２３９
30106-02,ダイセル化学工業㈱　網干工場機材部,0792-73-7021,0792-73-7271,兵庫,671-1234,兵庫県姫路市網干区新在家１２３９
30106-03,㈱ダイセル姫路製造所広畑工場,0792-38-1209,0792-38-1241,兵庫,671-1123,兵庫県姫路市広畑区富士町１２番地
30106-04,株式会社ダイセル　播磨工場,0791-72-5417,0791-72-6040,兵庫,671-1681,兵庫県たつの市揖保川町馬場８０５
30108-00,㈱エンプラス　栃木工場,0287-48-2829,0287-48-2826,栃木,329-1571,栃木県矢板市片岡２０６６－２
30108-01,㈱エンプラス　技術センター,048-224-1131,048-225-2690,埼玉,332-0002,埼玉県川口市弥平２－２０－１０
30108-02,㈱エンプラス,048-256-8558,,埼玉,332-0034,埼玉県川口市並木３－１－１９
30108-03,㈱エンプラス　茨城工場,0297-27-3241,0297-27-3243,茨城,303-0043,茨城県常総市内守谷町３９５０－５
30108-04,㈱エンプラス研究所,048-256-8515,048-256-3829,埼玉,332-0034,埼玉県川口市並木２－３８－５
30108-05,㈱エンプラス　鹿沼工場,0289-72-0692,0289-76-6621,栃木,322-0014,栃木県鹿沼市さつき町７－２
30108-06,㈱エンプラス　ディスプレイデバイス,0287-48-0053,0287-48-2386,栃木,329-1571,栃木県矢板市片岡２０６６－２
30108-09,㈱エンプラス本社,048-253-3131,048-255-1688,埼玉,332-0034,埼玉県川口市並木２丁目３０番１号
30109-00,高根沢プラスチック,0286-75-1775,,栃木,329-1233,栃木県塩谷郡高根沢町宝積寺６１８
30111-00,株式会社ダイショープレイン　本社,054-278-1882,054-278-3116,静岡,421-1211,静岡県静岡市葵区慈悲尾１１－１
30111-01,株式会社ダイショープレイン　成型工場,054-278-5665,054-278-4680,静岡,421-1211,静岡県静岡市葵区慈悲尾４７７－１
30112-00,大姫産業㈱　網干工場内　カルルック室,0792-74-3620,,兵庫,671-1234,兵庫県姫路市網干区新在家１３２９　ダイセル化学工業内
30114-00,ダイコー製作所,06-6792-5011,06-6792-5066,大阪,547-0002,大阪府大阪市平野区加美東４－５－１８
30115-00,大福合成工業所,0745-23-0035,0745-23-0035,奈良,635-0053,奈良県大和高田市秋吉８０
30116-00,㈱多摩いわき,0429-34-3151,,埼玉,358-0014,埼玉県入間市宮寺宮ノ台４０３　４－２
30118-00,第一精工㈱　本社,075-611-7155,075-611-7150,京都,612-8024,京都府京都市伏見区桃山町根来１２－４
30118-01,第一精工㈱　山梨工場,0553-23-0450,,山梨,405-0032,山梨県山梨市正徳寺一本木１８１６－１
30118-03,Ｉ－ＰＥＸ株式会社　大野城工場,092-503-0551,092-504-4390,福岡,816-0912,福岡県大野城市御笠川６－１－８
30118-04,第一精工㈱　小郡工場,0942-75-5115,0942-75-2050,福岡,838-0106,福岡県小郡市三沢８６３番地
30118-05,Ｉ－ＰＥＸ株式会社,092-503-4435,092-503-7901,福岡,816-0912,福岡県大野城市御笠川６－５－１８
30118-06,第一精工㈱太刀洗工場,0946-24-0300,0946-24-6081,福岡,838-0814,福岡県朝倉郡筑前町高田２４５５－１
30118-07,第一精工㈱八王子技術センター,0426-31-0133,0426-31-0132,山梨,192-0083,東京都八王子市旭町１３―１０　三井住友海上八王子ビル６Ｆ
30118-09,Ⅰ－ＰＥＸ島根㈱,0852-60-5710,0852-60-5750,島根,690-0816,島根県松江市北陵町１２番地
30119-00,㈱ダルマ化成,06-6725-9038,06-6725-9055,大阪,577-0837,大阪府東大阪市寿町３－１０－６
30120-00,太陽鉄琴研究所,0489-75-2521,,埼玉,343-0025,埼玉県越谷市大沢１－１１－２４
30122-00,大益工業㈱,0729-77-3388,0729-77-8106,大阪,582-0027,大阪府柏原市円明町７－２４
30123-00,武田合成,05742-6-5520,,岐阜,505-0000,岐阜県美濃加茂市加茂野町加茂野１３３
30126-00,ＹＮ化成,053-428-3533,053-428-3533,静岡,431-2102,静岡県浜松市浜名区都田町９２６２
30127-00,㈱武田ライト工業所,06-6911-3868,06-6911-5794,大阪,538-0051,大阪府大阪市鶴見区諸口１－２－１４
30129-00,ダイヤモンドリース㈱　福岡支店,092-712-2412,092-713-5284,福岡,810-0001,福岡県福岡市中央区天神１－９－１７　千代田生命ビル１３Ｆ
30129-01,三菱ＵＦＪリース㈱,045-319-5391,,神奈川,220-0004,神奈川県横浜市西区北幸１－４－１　天理ビル１５Ｆ
30129-02,ダイヤモンドリース㈱,06-6342-6730,,大阪,530-0004,大阪府大阪市北区堂島浜１－１－８堂島パークビル６Ｆ
30129-03,ダイヤモンドリース㈱　神田支店,03-3256-1433,,東京,101-0045,東京都千代田区神田鍛冶町３－６－３　神田三菱ビル７Ｆ
30129-04,ダイヤモンドリース㈱　上野支店,03-5818-1641,,東京,110-0015,東京都台東区東上野２丁目１８番１０号日本生命上野ビル９Ｆ
30130-00,太陽プラスチック工業㈱,0268-38-2444,0268-38-3325,長野,386-1323,長野県上田市本郷１５３４
30131-00,田中化学,05752-8-2077,,岐阜,501-3941,岐阜県関市小屋名上中島５２０
30132-00,㈱立沢化成　本社,055-261-7600,,山梨,406-0816,山梨県笛吹市御坂町金川原１１１０－４
30132-01,㈱立沢化成　金型工場,055-261-7600,055-262-3828,山梨,406-0816,山梨県笛吹市御坂町竹居７９１
30133-00,タイヨーワークス㈱,046-238-9248,046-238-9023,神奈川,243-0424,神奈川県海老名市社家６丁目２１－２５
30134-00,㈱大和ライト工業所,072-884-4581,,大阪,571-0073,大阪府門真市北巣本町２４－７
30135-00,㈱竹中製作所,0594-22-0196,0594-22-7897,三重,511-0836,三重県桑名市江場松原１６５７
30136-00,㈱タカギセイコー　本社,0766-24-5522,0766-25-8309,富山,933-0816,富山県高岡市二塚３２２－３
30136-00,㈱タカギセイコー　本社,0766-25-8312,0766-28-2575,富山,933-0816,富山県高岡市二塚３２２－３
30136-01,㈱タカギセイコー　新湊工場,0766-84-2323,0766-84-2948,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-2213,,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-2308,0766-84-2396,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-2323,0766-84-2984,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-2318,0766-84-2321,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-2390,0766-84-2948,富山,934-8580,富山県射水市川口８００
30136-01,㈱タカギセイコー　新湊工場,0766-84-0682,0766-84-2948,富山,934-8580,富山県射水市川口８００
30136-04,㈱タカギセイコー　（第５工場）,0766-84-9138,,富山,934-0051,富山県射水市宮袋川口入会次字川口１００６番地
30136-05,㈱タカギセイコー　（５課）,0766-52-3471,,富山,939-0284,富山県射水市新開発４７５
30136-10,㈱タカギセイコー　松本事業所,0263-86-2815,0263-86-0194,長野,390-1131,長野県松本市大字今井字松本通７１０９　松本西南工業団地
30136-11,㈱タカギセイコー　東北工場,0243-34-4515,0243-34-4519,福島,969-1165,福島県本宮市本宮中台５
30136-12,㈱タカギセイコー　氷見工場,0766-72-6500,0766-72-6502,富山,935-0025,富山県氷見市鞍川１５００
30136-12,㈱タカギセイコー　氷見工場,0766-72-6540,0766-72-6540,富山,935-0025,富山県氷見市鞍川１５００
30136-13,㈱タカギセイコー　浜松工場,0538-66-1386,0538-66-7810,静岡,438-0205,静岡県磐田市堀ノ内１７７０
30136-14,㈱タカギセイコー　浜北工場,053-587-1557,053-586-1145,静岡,434-0013,静岡県浜松市浜名区永島１６１－１
30136-15,㈱ﾀｶｷﾞｾｲｺｰ車両事業部ﾌﾞﾛｰ成型工場,0766-72-6518,0766-72-6527,富山,935-0025,富山県氷見市鞍川１５００番地
30136-16,㈱タカギセイコー 熱硬化性事業所,0766-72-6500,0766-72-6522,富山,935-0025,富山県氷見市鞍川１５００
30136-17,㈱タカギセイコー氷見工場　指定伝票請求,0766-72-6500,0766-72-6502,富山,935-0025,富山県氷見市鞍川１５００
30136-18,㈱タカギセイコー　関東工場,0276-84-4555,0276-84-4386,群馬,370-0718,群馬県邑楽郡明和町大字大輪２５０９
30136-20,㈱タカギセイコー　高岡工場,0766-31-1607,0766-31-1667,富山,933-0967,富山県高岡市手洗野字平田１－３
30136-21,㈱タカギセイコー　福光工場,0763-52-1220,0763-52-1224,富山,939-1701,富山県南砺市遊部３４６
30137-00,㈱タテックス,028-661-7397,028-662-7448,栃木,321-0905,栃木県宇都宮市平出工業団地３８－２６
30137-01,㈱タテックス　製造四課白沢工場,0286-73-6711,,栃木,329-1102,栃木県河内郡河内町大字白沢字上乃台白沢工業団地１８２８－１
30140-00,大同化成工業㈱,011-871-3553,,北海道,003-0821,北海道札幌市白石区菊水元町一条１－４－３０
30141-00,㈱拓斗化成,045-472-4663,045-472-4664,神奈川,222-0036,神奈川県横浜市港北区小机町５４７
30142-00,株式会社大明　大竹工場,0729-41-0498,0729-41-5148,大阪,581-0854,大阪府八尾市大竹５－１８３
30143-00,タカラ成型,0284-91-2286,,栃木,329-4213,栃木県足利市寺岡町９２７－３
30144-00,ダイワ化成㈱,048-832-3121,048-831-9171,埼玉,338-0002,埼玉県さいたま市中央区下落合１１０７
30145-00,宝合成,0532-61-1827,0532-61-8919,愛知,440-0022,愛知県豊橋市岩崎町字利兵８７－２
30146-00,大日本プラスチックス㈱,0792-73-1304,0792-73-2319,兵庫,671-1289,兵庫県姫路市網干区新在家１５０
30146-01,ダイプラ㈱　松戸工場,0473-61-0255,0473-61-3132,千葉,270-2231,千葉県松戸市稔台５－１－１
30146-02,タキロンシーアイシビル㈱　土浦工場,029-875-3615,029-875-3282,茨城,315-0052,茨城県かすみがうら市下稲吉２５８５
30147-00,高橋技研㈱,0849-55-0297,0749-55-4691,広島,720-0013,広島県福山市千田町大字千田４０８９番地
30148-00,第一化成,0827-52-4405,0827-52-6248,広島,739-0602,広島県大竹市南栄町３－４－１９
30149-00,タイラプラスチックス,0729-39-1234,0729-55-3810,大阪,583-0876,大阪府羽曳野市伊賀１８３
30150-00,竹永化学工業所株式会社,06-6471-6267,06-6477-4622,大阪,555-0032,大阪府大阪市西淀川区大和田６－８－５
30152-01,高瀬樹脂工業㈱,0767-76-0670,0767-76-0673,石川,929-1802,石川県鹿島郡中能登町武部ろ部５５
30153-00,大和合成㈱,0566-92-0013,0566-92-0015,愛知,444-1215,愛知県安城市榎前町井杭山１１６
30154-00,太源㈱,06-6345-1333,,大阪,530-0003,大阪府大阪市北区堂島１－２－６
30155-00,高橋化研,03-3652-5071,,東京,132-0023,東京都江戸川区西一之江４－１３－３
30156-00,㈱玉田製作所,04794-8-0046,,茨城,314-0400,茨城県神栖市矢田部３８１８
