客先№,客先名,機種名,機種名称,機械№,ＢＯＸ名,客先住所,郵便番号,電話番号
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",コンベア　　　　　　　　　　　　　　　,EC2500-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",コンベア　　　　　　　　　　　　　　　,EC2500-4,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC4000-5,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC4000-5,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC4000-5,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,CYS-900FB,C90B-0045,STEC-FA1,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,CYS-900FB,C90B-0046,STEC-FA1,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
21053-00,㈱タカギセイコー　松本事業所＊,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0615,STEC-420J,長野県松本市大字今井字松本通７１０９　松本西南工業団地,390-1131,0263-86-2815
21053-00,㈱タカギセイコー　松本事業所＊,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0616,STEC-420J,長野県松本市大字今井字松本通７１０９　松本西南工業団地,390-1131,0263-86-2815
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,CYS-900FB,C90B-0047,STEC-FA1,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,CYS-900FB,C90B-0048,STEC-FA1,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,TWS-1200FE-4,T12D-0102,STEC-340,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,TWS-1200FE-4,T12D-0103,STEC-340,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
40013-00,モールドバンク国分㈱,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-4,T12A-0622,STEC-420J,長野県上田市国分１－３－３７,386-8588,0268-22-3215
20081-00,三協精密㈱　光成形工場,取出機　　　　　　　　　　　　　　　　,TS-800FMII-4,T08A-1154,STEC-420J,長野県安曇野市明科光５８２,399-7103,0263-62-2294
40058-00,長野化学工業㈱,取出機　　　　　　　　　　　　　　　　,TS-900FAII,T09A-0306,STEC-300J,長野県埴科郡坂城町中之条１４１０,389-0602,0268-82-5111
10058-03,"K&K MOLDING, INC.",エコノコンベア　　　　　　　　　　　　,EC4000-5,,,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,TWS-1200FE-4,T12D-0105,STEC-340J,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,TWS-1200FE-4,T12D-0106,STEC-340J,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
10058-03,"K&K MOLDING, INC.",取出機　　　　　　　　　　　　　　　　,CYS-600FB,C60B-0125,STEC-FA1,"LIMA TECHNOLOGY CENTER SPECIAL ECONOMIC ZONE LIPA CITYBATANGAS,PHILIPPINES",,043-981-1000
20081-00,三協精密㈱　光成形工場,ライトコンベア　　　　　　　　　　　　,LC3000-3,,,長野県安曇野市明科光５８２,399-7103,0263-62-2294
10173-00,㈱川辺製作所,エコノコンベア　　　　　　　　　　　　,EC3000-3,,,長野県下伊那郡松川町元大島２９３０－３,399-3303,0265-36-3500
21527-00,信州吉野電機㈱,インクカートリッジ箱詰めシステム　　　,T-10Lﾖｳ ｼﾀｹｰｽ,FA-0378,,長野県塩尻市広丘高出　１９７１,399-0703,0263-54-1003
22005-02,EPSON PRECISION (H.K.) LTD.,取出機　　　　　　　　　　　　　　　　,TWS-800FMII-7,T08A-1202,STEC-420J,"UNIT 1-2,3/F.,VANTA INDUSTRIAL CENTER,21-33 TAI LIN PAI ROAD,KWAI CHUNG,N.T.,HONG KONG",,(852)2489-9119
22005-02,EPSON PRECISION (H.K.) LTD.,エコノコンベア　　　　　　　　　　　　,EC3000-3,,,"UNIT 1-2,3/F.,VANTA INDUSTRIAL CENTER,21-33 TAI LIN PAI ROAD,KWAI CHUNG,N.T.,HONG KONG",,(852)2489-9119
22005-02,EPSON PRECISION (H.K.) LTD.,インサート供給機　　　　　　　　　　　,ｿﾛﾓﾝ(R4C2660),FA-0345,,"UNIT 1-2,3/F.,VANTA INDUSTRIAL CENTER,21-33 TAI LIN PAI ROAD,KWAI CHUNG,N.T.,HONG KONG",,(852)2489-9119
20290-00,三共化成㈱　信州中野工場,取出機　　　　　　　　　　　　　　　　,CY-600FA,C60A-0088,STEC-F3,長野県中野市吉田中川原１２３７,383-0015,0269-22-5121
22005-02,EPSON PRECISION (H.K.) LTD.,インサート供給機　　　　　　　　　　　,ｿﾛﾓﾝ(R4C2660),FA-0348,,"UNIT 1-2,3/F.,VANTA INDUSTRIAL CENTER,21-33 TAI LIN PAI ROAD,KWAI CHUNG,N.T.,HONG KONG",,(852)2489-9119
22005-02,EPSON PRECISION (H.K.) LTD.,インサート供給機　　　　　　　　　　　,ｿﾛﾓﾝ(R4C2660),FA-0349,,"UNIT 1-2,3/F.,VANTA INDUSTRIAL CENTER,21-33 TAI LIN PAI ROAD,KWAI CHUNG,N.T.,HONG KONG",,(852)2489-9119
21527-00,信州吉野電機㈱,取出機　　　　　　　　　　　　　　　　,TW-800FMII-3,T08A-1209,STEC-420J,長野県塩尻市広丘高出　１９７１,399-0703,0263-54-1003
21083-00,伸英プラスチック,取出機　　　　　　　　　　　　　　　　,TS-800FAII,T08A-1210,STEC-300,長野県佐久市大字中込３７９６,385-0051,0267-62-0178
22012-00,セイコーエプソン㈱＊,取出機　　　　　　　　　　　　　　　　,TWS-800FMII-5,T08A-1226,STEC-420J,長野県塩尻市広丘野村５０４,399-0785,0263-52-2552
20290-00,三共化成㈱　信州中野工場,取出機　　　　　　　　　　　　　　　　,CY-600FA,C60A-0089,STEC-F3,長野県中野市吉田中川原１２３７,383-0015,0269-22-5121
02102-00,上田原製作所,取出機　　　　　　　　　　　　　　　　,TS-800FAII,T08A-1234,STEC-300J,長野県上田市上田原５５２－１,386-1102,0268-23-2028
02102-00,上田原製作所,コンベア　　　　　　　　　　　　　　　,EC2500-4,,,長野県上田市上田原５５２－１,386-1102,0268-23-2028
40066-00,㈱南信化成　本社工場,取出機　　　　　　　　　　　　　　　　,TS-600FMII-5,T60A-0181,STEC-420J,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
10058-00,化成工業㈱　長野工場,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-4,T12A-0652,STEC-420J,長野県下伊那郡阿智村春日１５３３－１,395-0301,0265-43-2531
54029-00,穂高プラスチック,取出機　　　　　　　　　　　　　　　　,TWS-800FAII,T08A-1243,STEC-300J,長野県安曇野市穂高６１５ー３,399-8303,0263-82-3460
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",エコノコンベア　　　　　　　　　　　　,EC3000-4,,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",ライトコンベア　　　　　　　　　　　　,LC3000-3,,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
40066-00,㈱南信化成　本社工場,プールコンベア　　　　　　　　　　　　,PC2000-3,,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,取出機　　　　　　　　　　　　　　　　,TS-800FMIII-5,T08G-0022,STEC-450,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-1246,STEC-420K,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,プールコンベア　　　　　　　　　　　　,PC2500-5,,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",インサート供給機　　　　　　　　　　　,(R4C3180),FA-0368,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",インサート供給機　　　　　　　　　　　,(R4C3180),FA-0369,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",インサート供給機　　　　　　　　　　　,(R4C3180),FA-0370,,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0182,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0183,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0184,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0185,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0186,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0187,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0188,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0189,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0190,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
40304-00,長菱メディア㈱,取出機　　　　　　　　　　　　　　　　,TWS-900FMIII-5,T09G-0010,STEC-450,長野県長野市大字南長池字村前２８０,381-0024,0262-51-1123
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",特殊取出機　　　　　　　　　　　　　　,TWS-800FMII-7,T08A-1249,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",特殊取出機　　　　　　　　　　　　　　,TWS-800FMII-7,T08A-1251,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",特殊取出機　　　　　　　　　　　　　　,TWS-800FMII-7,T08A-1253,STEC-420J,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
50191-00,㈱ハヤシテクノ,取出機　　　　　　　　　　　　　　　　,TS-600FMII-5,T60A-0195,STEC-420J,長野県上伊那郡箕輪町字中箕輪１０８００－１１９,399-4601,0265-79-8701
01208-00,㈱一ノ宮製作所,プールコンベア　　　　　　　　　　　　,PC3500-5,,,山梨県上野原市大野５９４３－１,409-0123,0554-66-2283
01208-00,㈱一ノ宮製作所,プールコンベア　　　　　　　　　　　　,PC3500-5,,,山梨県上野原市大野５９４３－１,409-0123,0554-66-2283
40066-00,㈱南信化成　本社工場,プールコンベア　　　　　　　　　　　　,PC2000-3,,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
60430-00,松本プラスチック製作所,エコノコンベア　　　　　　　　　　　　,EC5000-5,,,長野県駒ケ根市下平５６９５－２,399-4101,0265-82-5973
60430-00,松本プラスチック製作所,取出機　　　　　　　　　　　　　　　　,TWS-1800FE-5,T18D-0082,STEC-340J,長野県駒ケ根市下平５６９５－２,399-4101,0265-82-5973
40066-00,㈱南信化成　本社工場,取出機　　　　　　　　　　　　　　　　,SPS-600F,RF06-4027,STEC-F,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,取出機　　　　　　　　　　　　　　　　,TS-600FMII-5,T60A-0201,STEC-420J,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,プールコンベア　　　　　　　　　　　　,PC4000-7,,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
30136-01,㈱タカギセイコー　新湊工場,装置　　　　　　　　　　　　　　　　　,ﾀﾞｲﾛｯｸC-W-350,FA-0027,,富山県射水市川口８００,934-8580,0766-84-2323
41049-01,日機装㈱　金沢製作所,取出機　　　　　　　　　　　　　　　　,T-800FAII,T08A-0236,STEC-300J,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,パレットチェンジャー　Ｍ　　　　　　　,M-70II,SPM-0432,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,FA-0038,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
41049-01,日機装㈱　金沢製作所,空ストック用ＦＡコンベア　　　　　　　,ｺﾝﾍﾞｱﾄｸｼｭ,,,石川県金沢市北陽台３丁目１番地,920-0177,0762-57-4181
04398-00,奥野樹脂,プールコンベア　　　　　　　　　　　　,PC2000-4,,,富山県南砺市殿７０２,939-1758,0763-53-1180
12132-00,㈱クリヤマ,取出機　　　　　　　　　　　　　　　　,SP-600F,9611-32095,STEC-F1,富山県氷見市鞍川向田２８７９,935-0025,0766-74-3321
04398-00,奥野樹脂,取出機　　　　　　　　　　　　　　　　,TS-600FMII-5,T60A-0035,STEC-420J,富山県南砺市殿７０２,939-1758,0763-53-1180
52240-00,藤下プラスチック,取出機　　　　　　　　　　　　　　　　,SPS-600F,9607-31918,STEC-F1,富山県氷見市窪２０７６,935-0024,0766-91-1993
12132-00,㈱クリヤマ,取出機　　　　　　　　　　　　　　　　,SP-450F,9703-32457,STEC-F1,富山県氷見市鞍川向田２８７９,935-0025,0766-74-3321
00100-02,アルテック㈱,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0444,STEC-420J,富山県婦負郡婦中町上井沢４２４ー１,939-2614,0764-69-3741
00100-02,アルテック㈱,ライトコンベア　　　　　　　　　　　　,LC2000-5,,,富山県婦負郡婦中町上井沢４２４ー１,939-2614,0764-69-3741
21534-00,シロウマサイエンス㈱,取出機　　　　　　　　　　　　　　　　,TWS-1200FAII,T12A-0284,STEC-300J,富山県下新川郡入善町青木５７７７番地,939-0643,0765-72-0038
21534-00,シロウマサイエンス㈱,特殊取出機　　　　　　　　　　　　　　,TS-800FAII-1,T08A-0477,STEC-300J,富山県下新川郡入善町青木５７７７番地,939-0643,0765-72-0038
21534-00,シロウマサイエンス㈱,特殊取出機　　　　　　　　　　　　　　,TS-800FAII-1,T08A-0478,STEC-300J,富山県下新川郡入善町青木５７７７番地,939-0643,0765-72-0038
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0337,STEC-420J,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
10306-00,鏡屋樹工,取出機　　　　　　　　　　　　　　　　,TS-800FE-4,T08D-0058,STEC-330J,石川県鹿島郡中能登町西馬場マ２３,929-1601,0767-72-3163
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-600F,9704-32487,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
21016-00,㈱リッチェル　水橋工場,取出機　　　　　　　　　　　　　　　　,TS-900FMII-5,T09A-0153,STEC-420J,富山県富山市水橋桜木１３６,939-0592,076-478-2955
04167-01,近江化工㈱　福井工場,取出機　　　　　　　　　　　　　　　　,TWS-1800FM-5,T18F-0115,STEC-411J,福井県越前市塚町５４－６,915-0092,0778-23-5700
02099-00,㈱碓井製作所,取出機　　　　　　　　　　　　　　　　,SP-600F,9705-32472,STEC-F1,富山県中新川郡上市町正印３－１,930-0357,0764-72-4605
90096-00,YKK㈱　射出ﾌｧｽﾅ-製造部　古御堂工場,取出機　　　　　　　　　　　　　　　　,TS-600FMII-4,T60A-0084,STEC-420J,富山県黒部市吉田２００,938-8601,0765-54-8275
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0589,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0590,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0591,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
14275-00,（有）小泉製作所,取出機　　　　　　　　　　　　　　　　,CY-600FA,C60A-0048,STEC-F3,富山県中新川郡上市町中小泉２２０,930-0316,0764-72-5234
60015-01,松田化学産業㈱　松任工場,リクライニングコンベア　　　　　　　　,RC2000-3,,,石川県白山市中新保町５９,924-0003,076-275-6487
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0389,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0390,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-450F,9706-32814,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
14077-00,高陵プラスチックス工業㈱,取出機　　　　　　　　　　　　　　　　,CY-600FB,C60B-0051,STEC-FA1,富山県高岡市西藤平蔵字内川原１３１２,933-0824,0766-63-6465
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-600F,9705-32767,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-450F,9707-32823,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-450F,9707-32824,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
14275-00,（有）小泉製作所,取出機　　　　　　　　　　　　　　　　,T-600FMII-3,T60A-0101,STEC-420J,富山県中新川郡上市町中小泉２２０,930-0316,0764-72-5234
14006-00,越野化学産業,取出機　　　　　　　　　　　　　　　　,SP-450F,9707-32845,STEC-F1,石川県羽咋郡宝達志水町河原２－１２０,929-1303,0767-28-3354
52240-00,藤下プラスチック,取出機　　　　　　　　　　　　　　　　,SPS-600F,9703-32858,STEC-F2,富山県氷見市窪２０７６,935-0024,0766-91-1993
21016-00,㈱リッチェル　水橋工場,取出機　　　　　　　　　　　　　　　　,TWS-1800FM-5,T18F-0145,STEC-411J,富山県富山市水橋桜木１３６,939-0592,076-478-2955
21016-00,㈱リッチェル　水橋工場,取出機　　　　　　　　　　　　　　　　,TWS-1800FM-5,T18F-0146,STEC-411J,富山県富山市水橋桜木１３６,939-0592,076-478-2955
60117-00,松矢精工㈱,取出機　　　　　　　　　　　　　　　　,T-800FAII,T08A-0737,,石川県白山市源兵島町２３０,924-0052,076-277-2100
51034-00,肥田電器㈱,取出機　　　　　　　　　　　　　　　　,TS-800FAII,T08A-0765,STEC-300J,石川県鹿島郡中能登町春木ラ部５５番地,929-1703,0767-74-1155
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TS-900FMII-5,T09A-0244,STEC-420J,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
52240-00,藤下プラスチック,取出機　　　　　　　　　　　　　　　　,SPS-600F,9705-33271,STEC-F2,富山県氷見市窪２０７６,935-0024,0766-91-1993
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-450F,9710-33456,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-600F,9711-33510,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
44032-00,能登テック㈱,パレットチェンジャーＦＫ（特）　　　　,ﾊﾟﾚﾄﾁｪﾝｼﾞｬｰ,,,石川県鹿島郡中能登町藤井ム部２番地,929-1633,0767-77-2261
44032-00,能登テック㈱,取出機　　　　　　　　　　　　　　　　,TS-900FMII-4,T09A-0254,STEC-420J,石川県鹿島郡中能登町藤井ム部２番地,929-1633,0767-77-2261
90096-00,YKK㈱　射出ﾌｧｽﾅ-製造部　古御堂工場,取出機　　　　　　　　　　　　　　　　,SP-600F,9711-33528,STEC-F1,富山県黒部市吉田２００,938-8601,0765-54-8275
90096-00,YKK㈱　射出ﾌｧｽﾅ-製造部　古御堂工場,取出機　　　　　　　　　　　　　　　　,SP-600F,9711-33529,STEC-F1,富山県黒部市吉田２００,938-8601,0765-54-8275
74009-00,ヨシダ成形,取出機　　　　　　　　　　　　　　　　,SP-450F,9711-33473,STEC-F1,富山県中新川郡上市町広野８９０,930-0412,07647-2-1098
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0917,STEC-420K,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0918,STEC-420K,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0919,STEC-420K,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TS-800FMII-5,T08A-0920,STEC-420K,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
30136-01,㈱タカギセイコー　新湊工場,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0516,STEC-420J,富山県射水市川口８００,934-8580,0766-84-2323
30319-00,㈱ＴＯＰ,取出機　　　　　　　　　　　　　　　　,TWS-900FMII-4,T09A-0263,STEC-420K,福井県越前市今宿町２０－１,915-0861,0778-23-6500
40062-01,三光合成㈱　富山工場,取出機　　　　　　　　　　　　　　　　,TWS-1200FMII-5,T12A-0519,STEC-420K,富山県南砺市土生新１２００,939-1698,0763-52-7110
